"site","Bog_marsh","Brownfield","Built.up","Decidious_forest","Grassland","Grassland_agri","Heathland","Orchard","Park","Pine_forest","Plantation","Shrub","Valley_forest","Arable"
35,0,0,0.152544427915592,0.000685777529204733,0.00434777171919944,0.118481004131193,0,0.123824924597104,0,0,0.0843127201394838,0.000430814098014228,0,0.515372559870209
36,0.00137638188257343,0,0.00294049404624146,0.000589877949674328,0,0.009002679067041,0,0.00299550170006725,0,0,0.00869687097963748,0.00884695865994002,0,0.965551235714825
37,0,0,0.0085348489837597,0,0,0,0,0.0671649381859217,0,0,0,0.00443668446376897,0.00951045016475428,0.910353078201795
38,0,0,0.0398400568175843,0,0.000231460952049295,0.0272414811009047,0,0.207954241362858,0.00496298327880829,0,0,0.0217200593293851,0.0225441651040253,0.675505552054385
39,0,0,0.0149928774555994,0,0,0.0437935903722622,0,0.369335970428903,0.00373992131787355,0,0.047972759226282,0.00339608153506193,0,0.516768799664018
40,0,0,0.159200284281065,0.0618147993010623,0.00852262796166372,0.0900053784609269,0,0.29177283548933,0.0194492947477399,0,0.000519422678609777,0,0,0.368715357079603
41,0,0,0.0217265760222974,0.0133950179114401,0.00285666208400642,0.0267114529643042,0,0.422848476179619,0,0,0.0128603425149264,0.0107263528813522,0,0.488875119442055
42,0.00243017511046445,0,0,0.0612751483213256,0,0.0580930486728201,0,0.104727476340552,0,0,0.178779506526275,0.0592528905377081,0,0.535441754490855
43,0.0019742801329222,0,0.174854175890287,0.00511526565600153,0.000482831496848244,0.0759163290907109,0,0.319581108720591,0.000198308528936671,0,0.0486440186760362,0.0673786875965155,0,0.305854994211151
44,0,0,0,0.0814085549225974,0,0.000701314751237389,0,0.202352564124547,0.00421615405523692,0,9.98990233012214e-05,0.00439102244040615,0,0.706830490682674
45,0,0,0,0.0688017180553447,0.000858516865258222,0,0,0,0,0,0,0.00109306212176846,0,0.929246702957629
46,0,0,0.00172775473078101,0.00820804079934863,0,0,0,0.0288003683256471,0,0,0.00595627119162561,0.00222299544462858,0,0.953084569507969
47,0,0,0,0.00103133316817831,0,0,0,0.0519806031626367,0,0,0,0,0,0.946988063669185
48,0,0,0,0,0,0,0,0,0,0.0515222821810687,0.0486661138672708,0,0,0.89981160395166
49,0,0,0,0,0.00206033705645782,0,0,0,0,0,0,0,0,0.997939662943542
50,0,0,0.105268766262568,0.00395808881423653,0.0215857433679789,0.0771190752602682,0,0.0133116689981211,0,0,0.000415704163479129,0.00289939899757855,0,0.77544155413577
51,0,0.0135535440954126,0.0138766144703647,0.000161969400685625,0.00325971286617949,0.0130532973204849,0,0.000302735904497891,0,0,0.0317071313691547,0.0140927143425167,0,0.909992280230703
52,0,0,0,0,0.00154436220981623,0,0,0,0,0,0,0.000317673950534219,0,0.99813796383965
53,0,0.00563443493840706,0,0,0.00563443493840706,0,0,0,0,0,0,0,0,0.988731130123186
54,0,0,0,0,0,0,0,0,0,0,0,0.000220797427205918,0,0.999779202572794
55,0,0.0300489792710689,0,0.257194520952111,0.0022044069893225,0,0,0,0,0,0.0134741291081528,0.0110145827452012,0,0.686063380934144
56,0,0,0,0.166653984559576,0.0182475769501497,0.267221821129171,0,0,0,0,0.487051360860605,0.0608252565004991,0,0
57,0,0.0209067222085219,0.0248502472716309,0.0347919476801639,0.0494942392024209,0.348503388701144,0.0293994366967921,0.151514653240429,0,0.00814754660932917,0.0621413298251966,0.0772180346393716,0,0.193032453925
58,0,0.00712286677341488,0.0273380303630395,0.262628924709575,0.0352131661684769,0.425827323386204,0.00888289586879944,0.00592334716065355,0,0.0436302468077661,0.0313829208496029,0.016909577934505,0,0.135140699977963
59,0,0.00016629303160182,0.022890968185272,0.185808431563033,0.00409028524051241,0.171496042330242,0.0600541492614002,0.140355667655,0.0184984994938201,0.0752128352863606,0.0623884803436199,0.0232111111402229,0,0.235827236468914
60,0,0.00175479613458726,0.0536198298281238,0.200943333924684,0.0130316417318769,0.352931032168103,0.00425476274495323,0.0339846043007252,0,0.018859546908397,0,0.00992777973822421,0,0.310692672520324
61,0,0.000926699925547671,0.0192437352194596,0.115999745679745,0.0387169163927454,0.507421507365382,0,0.0204998478039643,0,0.0169815098234735,8.53577102053784e-08,0.0240832971139184,0,0.256126655318053
62,0.00184596091391724,0.000966469133894153,0.0635409394574565,0.122595555504326,0.0388627196550113,0.619844991427417,0,0.0168678754051472,0,0,0.00535751015340101,0.00666172550016559,0,0.123456252849264
63,0,0,0.0122681568653712,0,0,0,0,0.199091130378833,0,0,0,0,0,0.788640712755796
64,0,0,0.24134013058125,0,0.00479019315372863,0.0709152502270779,0,0.0645131394875779,0,0,0.0296777659811537,0.035641753408434,0,0.553121767160778
65,0,0,0.165011084134573,0.00913793243366874,0.00177384938563981,0.0273095942017338,0,0.0823576219659117,0,0,0.0114831921346971,0.0166752270162311,0,0.686251498727545
66,0,0,0.00485447450433285,0.0192555152952487,0,0.00462008378435695,0,0.163804067133712,0.00396038088430995,0,0.0203643388575021,0.0208685591233063,0,0.762272580417232
67,0,0,0,0,0,0.00508426366482815,0,0.218171173789954,0,0,0,0.00744152859196565,0,0.769303033953253
68,0,0,0.132456159485029,0.00708180122642784,0.00179890463966785,0.0335824581510278,0,0.357433989722712,0,0,0.0015448133345291,0.00486303162330325,0,0.461238841817303
69,0,0,0.0523925239783727,0.000643309458359971,0.0041483667050049,0.0440056449997779,0,0.326191700510508,0,0,0.0111138335057252,0,0.0200708377255318,0.54143378311672
70,0,0,0.27112586957984,0.00207167538652084,0.0196369011675798,0.0872130534085196,0,0.297147277881029,0.014767469883114,0,0.0048339092352153,0,0,0.303203843458181
71,0,0,0.0442679173155968,0.00165500677189781,0.00618050119416415,0.0603016249403891,0,0.277487349053486,0,0,0.0144847317112567,0.00822186050024965,0,0.58740100851296
72,0.00165026337441621,0,0.000179570084240685,0.0315372949188751,0.00262411158874425,0.0773581412017593,0,0.258360357149858,0.0275091590133667,0,0.0455898601036159,0.000442295841789646,0,0.554748946723334
73,0.00310519989041276,0,0.349147815231865,0.0510037176489042,0,0.176105584353671,0,0.0520225830048675,0.053101755403622,0,0.0475685950902011,0.00614869143692713,0.0352509139886073,0.226545143950922
74,0.0240579544229862,0,0.0832254566468168,0.00314046265218684,0.00164438173572218,0.0366669084157697,0,0.12578757711737,0.00790337278688752,0,0.0787099801098941,0.00696432731727215,0,0.631899578795095
75,0.000231225105782259,0,0.0409882425694669,0.00236080552385264,0.00136847748103859,0.0400334065225301,0,0.0394514670862252,0,0,0.00760625663552498,0.00445787769789264,0,0.863502241377687
76,0,0.0023893476311321,0.133725748195995,0.0467311722406631,0,0.122609286860189,0,0.0522636605622504,0,0,0.0794411431629465,0.0153745178660702,0,0.547465123480753
77,0,0,0,0,3.04940421062753e-05,0,0,0.0283114110159085,0,0,0.000157488100070743,3.04940421062753e-05,0,0.971470112799808
78,0,0,0.0107121340727041,0.00147635500817323,0,0,0,0.00477862655906259,0,0.000952463093351597,0.150726581725887,0.00147635500817323,0,0.829877484532649
79,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,0,0,0.0220667984535984,0.00827100941974423,0,0.152964262647485,0,0,0,0,0.252282053929406,0.10664124821953,0,0.457774627330236
81,0.00211460940037442,0,0.140042825829998,0.0158636256447637,0.02004195452735,0.220854150483945,0,0.0275824631753745,0,0,0.0394382627362379,0.0114058078037178,0,0.522656300398238
82,0,0,0.0831752136492474,0.00259019037749413,0.0237093416481973,0.0894538430547843,0,0.00600449052491782,0,0,0.0129540733054644,0.0311482827449517,0,0.750964564694943
83,0,0,0,0,0,0,0,0,0,0,0.0122473648944233,0.00268019250261192,0,0.985072442602965
84,0,0.00232861216545637,0,0.00291641423126014,0.00566676999462574,0.0052601707758502,0,2.04056343542014e-05,0,0,0.001383117057422,0.00562121251715771,0,0.976803297623874
85,0,0.000866546450896762,0,0.000604399330144913,0.000866546450896762,0,0,0,0,0,0,0,0,0.997662507768062
86,0,0.00230496509999785,0.000230321707986729,0.00283818234695944,0.00151655991603934,0.00739827778250331,0,0.000786962491463814,3.75319122428551e-05,0,0,4.98928680012249e-05,0,0.984837305874805
87,0,0.00903160250368237,0.00468905095619698,0.0409199043794687,0.00675367704590688,0.00724959516426712,0,0.065942095623852,0.000104207518170172,0,0.00921681243112375,0.0141492539657491,0,0.841943800411583
88,0,0,0.0407007161890946,0,0.0288930080292424,0.198685253863975,0,0.0247772965032558,0,0,1.50165830990748e-05,0,0,0.706928708831333
89,0,0,0.00428560429570371,0.235181254876747,0.0135993904045673,0.404919863118713,0.0339118048901247,0.0114017710740192,0,0,0.247633567291248,0.000801577330689616,0,0.0482651667181885
90,0.00180270978688646,0,0.0227984493034332,0.148266726090408,0.0367426109868523,0.36258267676466,0.0351595061255945,0.0481912892972308,0,0,0.0538350117415414,0.122755829761109,0,0.167865190142284
